 10     0.910624267301143E-02
 11     0.986558748370272E-02
 12     0.101989374859674E-01
 13     0.102163047351410E-01
 14     0.979995100819081E-02
 15     0.919072829919162E-02
 16     0.858656411070709E-02
 17     0.794688079748091E-02
 18     0.750476934488950E-02
 19     0.729405378959096E-02
 20     0.704401717608834E-02
 21     0.673550050281555E-02
 22     0.619238301817392E-02
 23     0.573693974479547E-02
 24     0.644129271118094E-02
 25     0.684339236504069E-02
 26     0.678608029970614E-02
 27     0.662623865008949E-02
 28     0.653639320715047E-02
 29     0.632398705863679E-02
 30     0.611001745173976E-02
