3623112.440000 2.566612e-01 
3623515.725000 2.626328e-01 
3623919.010000 2.680723e-01 
3624322.295000 2.729413e-01 
3624725.580000 2.772049e-01 
3625128.865000 2.808321e-01 
3625532.150000 2.837963e-01 
3625935.435000 2.860758e-01 
3626338.720000 2.876536e-01 
3626742.005000 2.885178e-01 
3627145.290000 2.886621e-01 
3627548.575000 2.880854e-01 
3627951.860000 2.867919e-01 
3628355.145000 2.847914e-01 
3628758.430000 2.820986e-01 
3629161.715000 2.787337e-01 
3629565.000000 2.747212e-01 
3629968.285000 2.700904e-01 
3630371.570000 2.648747e-01 
3630774.855000 2.591111e-01 
3631178.140000 2.528400e-01 
3631581.425000 2.461046e-01 
3631984.710000 2.389506e-01 
3632387.995000 2.314252e-01 
3632791.280000 2.235772e-01 
3633194.565000 2.154560e-01 
3633597.850000 2.071114e-01 
3634001.135000 1.985929e-01 
3634404.420000 1.899492e-01 
3634807.705000 1.812282e-01 
3635210.990000 1.724758e-01 
3635614.275000 1.637362e-01 
3636017.560000 1.550514e-01 
3636420.845000 1.464607e-01 
3636824.130000 1.380004e-01 
3637227.415000 1.297042e-01 
3637630.700000 1.216024e-01 
3638033.985000 1.137220e-01 
3638437.270000 1.060867e-01 
3638840.555000 9.871697e-02 
3639243.840000 9.162982e-02 
3639647.125000 8.483913e-02 
3640050.410000 7.835555e-02 
3640453.695000 7.218677e-02 
3640856.980000 6.633760e-02 
3641260.265000 6.081016e-02 
3641663.550000 5.560409e-02 
3642066.835000 5.071678e-02 
3642470.120000 4.614353e-02 
3642873.405000 4.187784e-02 
3643276.690000 3.791159e-02 
3643679.975000 3.423528e-02 
3644083.260000 3.083828e-02 
3644486.545000 2.770899e-02 
3644889.830000 2.483507e-02 
3645293.115000 2.220365e-02 
3645696.400000 1.980148e-02 
3646099.685000 1.761511e-02 
3646502.970000 1.563101e-02 
3646906.255000 1.383576e-02 
3647309.540000 1.221613e-02 
3647712.825000 1.075915e-02 
3648116.110000 9.452288e-03 
3648519.395000 8.283427e-03 
3648922.680000 7.240982e-03 
3649325.965000 6.313921e-03 
3649729.250000 5.491804e-03 
3650132.535000 4.764806e-03 
3650535.820000 4.123725e-03 
3650939.105000 3.559987e-03 
3651342.390000 3.065641e-03 
3651745.675000 2.633350e-03 
3652148.960000 2.256369e-03 
3652552.245000 1.928528e-03 
3652955.530000 1.644205e-03 
3653358.815000 1.398299e-03 
3653762.100000 1.186202e-03 
3654165.385000 1.003764e-03 
3654568.670000 8.472638e-04 
3654971.955000 7.133785e-04 
3655375.240000 5.991501e-04 
3655778.525000 5.019558e-04 
3656181.810000 4.194784e-04 
3656585.095000 3.496778e-04 
3656988.380000 2.907640e-04 
3657391.665000 2.411724e-04 
3657794.950000 1.995395e-04 
3658198.235000 1.646813e-04 
3658601.520000 1.355733e-04 
3659004.805000 1.113315e-04 
3659408.090000 9.119610e-05 
3659811.375000 7.451587e-05 
3660214.660000 6.073451e-05 
3660617.945000 4.937835e-05 
3661021.230000 4.004533e-05 
3661424.515000 3.239526e-05 
3661827.800000 2.614119e-05 
3662231.085000 2.104182e-05 
3662634.370000 1.689490e-05 
3663037.655000 1.353139e-05 
3663440.940000 1.081044e-05 
3663844.225000 8.615062e-06 
3664247.510000 6.848380e-06 
3664650.795000 5.430396e-06 
3665054.080000 4.295260e-06 
3665457.365000 3.388923e-06 
3665860.650000 2.667154e-06 
3666263.935000 2.093866e-06 
3666667.220000 1.639698e-06 
3667070.505000 1.280835e-06 
3667473.790000 9.980141e-07 
3667877.075000 7.757012e-07 
3668280.360000 6.014043e-07 
3668683.645000 4.651069e-07 
3669086.930000 3.588008e-07 
3669490.215000 2.761012e-07 
3669893.500000 2.119324e-07 
3670296.785000 1.622709e-07 
3670700.070000 1.239363e-07 
3671103.355000 9.442137e-08 
3671506.640000 7.175571e-08 
3671909.925000 5.439474e-08 
3672313.210000 4.113122e-08 
3672716.495000 3.102419e-08 
3673119.780000 2.334230e-08 
3673523.065000 1.751867e-08 
3673926.350000 1.311514e-08 
3674329.635000 9.793975e-09 
3674732.920000 7.295570e-09 
3675136.205000 5.420930e-09 
3675539.490000 4.017932e-09 
3675942.775000 2.970610e-09 
3676346.060000 2.190801e-09 
3676749.345000 1.611664e-09 
3677152.630000 1.182661e-09 
3677555.915000 8.656864e-10 
3677959.200000 6.320843e-10 
3678362.485000 4.603665e-10 
3678765.770000 3.344619e-10 
3679169.055000 2.423841e-10 
3679572.340000 1.752169e-10 
3679975.625000 1.263463e-10 
3680378.910000 9.087922e-11 
3680782.195000 6.520532e-11 
3681185.480000 4.666812e-11 
3681588.765000 3.331820e-11 
3681992.050000 2.372890e-11 
3682395.335000 1.685896e-11 
3682798.620000 1.195057e-11 
3683201.905000 8.453770e-12 
3683605.190000 5.970699e-12 
