 10     0.756970818881027E-02
 11     0.839749224741966E-02
 12     0.851561456824011E-02
 13     0.814163427836418E-02
 14     0.807706456578990E-02
 15     0.797085588117031E-02
 16     0.775079750743356E-02
 17     0.746443351112447E-02
 18     0.692713284785812E-02
 19     0.642047701074205E-02
 20     0.624699317412171E-02
 21     0.636232833636996E-02
 22     0.663798439672059E-02
 23     0.735991623404221E-02
 24     0.933952596024159E-02
 25     0.838111597391578E-02
 26     0.643150337149406E-02
 27     0.597120814066266E-02
 28     0.592247304844224E-02
 29     0.596751155839545E-02
 30     0.630807174943194E-02
