 10     0.710750552300176E-02
 11     0.789375883076869E-02
 12     0.824508942530372E-02
 13     0.784851572184747E-02
 14     0.773273513270030E-02
 15     0.763465032958907E-02
 16     0.745666768121727E-02
 17     0.721095940787318E-02
 18     0.672206335368414E-02
 19     0.625595345708210E-02
 20     0.613704891498509E-02
 21     0.633768167748838E-02
 22     0.674580769759732E-02
 23     0.784107402674097E-02
 24     0.789537168363204E-02
 25     0.628316231243849E-02
 26     0.580519354187382E-02
 27     0.584546353099064E-02
 28     0.588689883036199E-02
 29     0.600912983339357E-02
 30     0.637752755429543E-02
