 10     0.685012510839649E-03
 11     0.743238606740907E-03
 12     0.762034451823374E-03
 13     0.770448734983042E-03
 14     0.753325258486059E-03
 15     0.723407618217357E-03
 16     0.696825268194854E-03
 17     0.676415705456034E-03
 18     0.656811508451241E-03
 19     0.595358238175159E-03
 20     0.535823240509091E-03
 21     0.553965592278538E-03
 22     0.597799122576201E-03
 23     0.614451903959995E-03
 24     0.618464873825935E-03
 25     0.619003441680946E-03
 26     0.613065394293183E-03
 27     0.540421214473966E-03
 28     0.553856729904215E-03
 29     0.695732947292059E-03
 30     0.575414816743801E-03
