 10     0.358559348249062E-02
 11     0.387977398921392E-02
 12     0.412817801717404E-02
 13     0.427537595469580E-02
 14     0.402430906904334E-02
 15     0.347503675331997E-02
 16     0.302950543627409E-02
 17     0.274246400511026E-02
 18     0.256707491285131E-02
 19     0.241620971328705E-02
 20     0.231723033550430E-02
 21     0.220744557279728E-02
 22     0.202798298241502E-02
 23     0.183653714260190E-02
 24     0.191486444882507E-02
 25     0.225384905620616E-02
 26     0.230405897348458E-02
 27     0.228047021105409E-02
 28     0.222092196593181E-02
 29     0.210555648387223E-02
 30     0.194376035890320E-02
