 10     0.145944658456988E-01
 11     0.140461310147086E-01
 12     0.129549874463343E-01
 13     0.120652562448404E-01
 14     0.118157334670568E-01
 15     0.110885209374127E-01
 16     0.105634291681433E-01
 17     0.100366557401354E-01
 18     0.105088877813391E-01
 19     0.114164495165129E-01
 20     0.114315872457962E-01
 21     0.113827682648855E-01
 22     0.113478570826017E-01
 23     0.113316164627467E-01
 24     0.103841682433834E-01
 25     0.102302195377241E-01
 26     0.102686607215456E-01
 27     0.104936356745834E-01
 28     0.106369501655061E-01
 29     0.106356185236831E-01
 30     0.100429301024301E-01
